"Dependency","BugCategory","Rho","Pvalue"
"husky","Runtime Exception",0.340973837551705,0.070278179656611
"husky","Test Fault",-0.170402573446052,0.376820407771473
"husky","Tooling / Config",0.322054535774986,0.0884256492258073
"husky","Type Error",-0.190791811017966,0.321491913923581
"husky","UI Bug",-0.218254395118616,0.255365016692406
"husky","Error Handling",-0.108866210790363,0.574014077764745
"husky","Total_Bugs",0.102327975122904,0.5973580001058
"lint-staged","API Misuse",-0.231374696692804,0.227180330703812
"lint-staged","Async / Event",-0.112834867470446,0.560046535552757
"lint-staged","Logic Error",0.0553189623701235,0.775631851210265
"lint-staged","Missing Case",-0.052436910946676,0.78704796685728
"lint-staged","Missing Feature",0.0650279792620515,0.737521271229144
"lint-staged","Performance Issue",0.241746889207614,0.206437641209505
"lint-staged","Runtime Exception",0.340973837551705,0.070278179656611
"lint-staged","Test Fault",-0.170402573446052,0.376820407771473
"lint-staged","Tooling / Config",0.322054535774986,0.0884256492258073
"lint-staged","Type Error",-0.190791811017966,0.321491913923581
"lint-staged","UI Bug",-0.218254395118616,0.255365016692406
"lint-staged","Error Handling",-0.108866210790363,0.574014077764745
"lint-staged","Total_Bugs",0.102327975122904,0.5973580001058
"turbo","API Misuse",-0.0936073484861039,0.629109776099524
"turbo","Async / Event",0.153548805831754,0.426470398104499
"turbo","Logic Error",0.0250931909087085,0.897193857272822
"turbo","Missing Case",0.0178393993759886,0.926817673307955
"turbo","Missing Feature",0.0442459356100868,0.819722346974109
"turbo","Performance Issue",0.164487923739942,0.393847548910945
"turbo","Runtime Exception",0.0888523316638638,0.646704157267338
"turbo","Test Fault",-0.165634664999984,0.390512448253475
"turbo","Tooling / Config",-0.0248072101257115,0.898359479865297
"turbo","Type Error",0.134005042034562,0.48828944046302
"turbo","UI Bug",0.132002938805037,0.494868953118155
"turbo","Error Handling",-0.0740740740740741,0.70255046974996
"turbo","Total_Bugs",-0.278501472737028,0.143486629661491
"concurrently","API Misuse",-0.0283221897672901,0.884047930728878
"concurrently","Async / Event",0.0638801645437677,0.741997099043567
"concurrently","Logic Error",-0.0417575937629333,0.82970994891023
"concurrently","Missing Case",-0.0890596650096099,0.645933002028983
"concurrently","Missing Feature",-0.154622343740029,0.423204712954969
"concurrently","Performance Issue",0.0729931868601812,0.706699512851196
"concurrently","Runtime Exception",-0.00821440096816907,0.966266964523399
"concurrently","Test Fault",-0.130925553177498,0.498427962866918
"concurrently","Tooling / Config",0.0275211286490653,0.887306545558568
"concurrently","Type Error",-0.0627181507505318,0.746536693954128
"concurrently","UI Bug",0.0205937032661608,0.915555945750969
"concurrently","Error Handling",-0.0924500327042048,0.633374264020281
"concurrently","Total_Bugs",-0.218096218695875,0.255718186081169
"nodemon","API Misuse",-0.212719658845538,0.267913204541308
"nodemon","Async / Event",-0.213237856102666,0.266721709166055
"nodemon","Logic Error",0.0580794512767805,0.764739937710507
"nodemon","Missing Case",-0.173418782356682,0.368304950696809
"nodemon","Missing Feature",-0.172047861388454,0.372161276684726
"nodemon","Performance Issue",0.335029697130245,0.0756379369702356
"nodemon","Runtime Exception",0.260494036125864,0.172316907519846
"nodemon","Test Fault",-0.103509833901353,0.593108304840364
"nodemon","Tooling / Config",0.287087671920811,0.131042993361956
"nodemon","Type Error",-0.290776315749522,0.125946869553641
"nodemon","UI Bug",-0.25206013382292,0.187137273665014
"nodemon","Error Handling",-0.051434449987364,0.791029093662479
