"","Size..LOC.","Num.of.Files","Commits","Commits.in.12.Months..Oct.8.","Issues","Issues..closed.","Pull.Requests","Size (LOC)","Num of Files","Project_Age_Years","API Misuse","Async / Event","Logic Error","Missing Case","Missing Feature","Test Fault","Tooling / Config","Type Error","UI Bug","Runtime Exception","Runtime exception","Error Handling","Total_Bugs"
"API Misuse",0.168725646998766,0.597614851487871,0.578460197977975,0.365346590031663,0.88254286606288,0.991271508759326,0.878222223368955,0.168725646998766,0.597614851487871,0.943306249593137,NA,0.242614266118663,0.268167993443943,0.90659233845473,0.360624004037739,0.434731484458082,0.20707631615612,0.70315815407622,0.23253055534963,0.64605268329403,0.754226094529345,0.0544030922724503,0.0613363504214626
"Async / Event",0.355371754258496,0.861724231550256,0.928396914451014,0.526311499210542,0.102396444427629,0.102396444427629,0.511414041529029,0.355371754258496,0.861724231550256,0.433143543804445,0.242614266118663,NA,0.961559256486582,0.509853408969762,0.191187765656121,0.0826044031480571,0.384028556638478,0.387947908182667,0.786148809386062,0.0999861318346138,0.27426513012561,0.0473709207541571,0.777925867208629
"Logic Error",0.0548546964653833,0.381790460315653,0.103759368619118,0.986937027225338,0.167878774511433,0.116367890242136,0.0984772916676513,0.0548546964653833,0.381790460315653,0.0619552060510768,0.268167993443943,0.961559256486582,NA,0.340996366630687,0.549896563751196,0.668408144458217,0.113543167572638,0.896468551946463,0.71045406977922,0.050313209743875,0.240937806882115,0.492082459791248,0.754609476763535
"Missing Case",0.842368017505588,0.434448218888337,0.649556064487897,0.6020134309172,0.190065879795399,0.408015840333584,0.947182687162047,0.842368017505588,0.434448218888337,0.964775751636667,0.90659233845473,0.509853408969762,0.340996366630687,NA,0.0124670499615078,0.163091229138243,0.246472763522534,0.483553594925664,0.759829585278125,0.436511047992859,0.235313597967824,0.383046296101646,0.986748600464521
"Missing Feature",0.502503673398633,0.532621762309426,0.652203282792475,0.79349172018672,0.75415237540282,0.587193434148355,0.945619202139721,0.502503673398633,0.532621762309426,0.393891487143388,0.360624004037739,0.191187765656121,0.549896563751196,0.0124670499615078,NA,0.0429470633807041,0.685098936979452,0.375535918143428,0.088818484025921,0.874049124804932,0.321179310885769,0.0438321236170391,0.0603482007372715
"Test Fault",0.420371494035518,0.66335420972558,0.0574774509282912,0.225149362479325,0.67953146468341,0.363477237538474,0.0912013396845359,0.420371494035518,0.66335420972558,0.643327724758567,0.434731484458082,0.0826044031480571,0.668408144458217,0.163091229138243,0.0429470633807041,NA,0.158343071120803,0.561915806830856,0.710843383924592,0.350661372021099,0.195648884878163,0.0972693568199634,0.117905515043249
"Tooling / Config",0.801694942571771,0.839970301488066,0.831432539073215,0.404188544922496,0.252055223153429,0.456988786202648,0.657513776059973,0.801694942571771,0.839970301488066,0.256944643320562,0.20707631615612,0.384028556638478,0.113543167572638,0.246472763522534,0.685098936979452,0.158343071120803,NA,0.0780711857628149,0.00343919161822637,0.592694927255601,0.198883623519593,0.289755612148944,0.586111403554258
"Type Error",0.417817844053289,0.536317829335513,0.514378708254323,0.131277569467738,0.745872565127947,0.468316607215619,0.175319117704065,0.417817844053289,0.536317829335513,0.82199110051317,0.70315815407622,0.387947908182667,0.896468551946463,0.483553594925664,0.375535918143428,0.561915806830856,0.0780711857628149,NA,0.0547065107117888,0.31133988431198,0.238701148783253,0.453385087534083,0.104966208574294
"UI Bug",0.493287388686142,0.324815409632589,0.425364974502931,0.596268705495924,0.187397522371487,0.221272171029622,0.739810551066556,0.493287388686142,0.324815409632589,0.409182781999855,0.23253055534963,0.786148809386062,0.71045406977922,0.759829585278125,0.088818484025921,0.710843383924592,0.00343919161822637,0.0547065107117888,NA,0.939626667295196,0.243157282541229,0.939946259003637,0.100353942515231
"Runtime Exception",0.880177519183279,0.543944384169873,0.880177519183279,0.28119132432233,0.358454933372571,0.28119132432233,0.649990448962961,0.880177519183279,0.543944384169873,0.114779140739459,0.64605268329403,0.0999861318346138,0.050313209743875,0.436511047992859,0.874049124804932,0.350661372021099,0.592694927255601,0.31133988431198,0.939626667295196,NA,0.00353520810585906,0.420532830862393,0.594915541971937
