"dependency","dependency.category","Project","Tooling / Config"
"cross-env","Platform & Runtime Configuration","n8n-monorepo",0
"cross-env","Platform & Runtime Configuration","vue-i18n-root",0
"ts-node","Platform & Runtime Configuration","nest",31
"ts-node","Platform & Runtime Configuration","user-event",1
"server-only","Platform & Runtime Configuration","shortest-monorepo",0
"server-only","Platform & Runtime Configuration","tablecn",0
"tsx","Platform & Runtime Configuration","chakra-ui",15
"tsx","Platform & Runtime Configuration","shortest-monorepo",0
"tsx","Platform & Runtime Configuration","tablecn",0
"tsx","Platform & Runtime Configuration","vue-i18n-root",0
"dotenv","Platform & Runtime Configuration","chakra-ui",15
"dotenv","Platform & Runtime Configuration","refly-monorepo",0
"dotenv","Platform & Runtime Configuration","shortest-monorepo",0
